Memory Map - 114 entries

Entry 63: Type=BOOT_SERVICES_CODE, Start=0x0000000006fa7000, Pages=21, Attr=0xf
Entry 64: Type=BOOT_SERVICES_DATA, Start=0x0000000006fbc000, Pages=4, Attr=0xf
Entry 65: Type=BOOT_SERVICES_CODE, Start=0x0000000006fc0000, Pages=4, Attr=0xf
Entry 66: Type=BOOT_SERVICES_DATA, Start=0x0000000006fc4000, Pages=4, Attr=0xf
Entry 67: Type=BOOT_SERVICES_CODE, Start=0x0000000006fc8000, Pages=11, Attr=0xf
Entry 68: Type=BOOT_SERVICES_DATA, Start=0x0000000006fd3000, Pages=5, Attr=0xf
Entry 69: Type=BOOT_SERVICES_CODE, Start=0x0000000006fd8000, Pages=1, Attr=0xf
Entry 70: Type=BOOT_SERVICES_DATA, Start=0x0000000006fd9000, Pages=1, Attr=0xf
Entry 71: Type=BOOT_SERVICES_CODE, Start=0x0000000006fda000, Pages=22, Attr=0xf
Entry 72: Type=BOOT_SERVICES_DATA, Start=0x0000000006ff0000, Pages=2, Attr=0xf
Entry 73: Type=BOOT_SERVICES_CODE, Start=0x0000000006ff2000, Pages=3, Attr=0xf
Entry 74: Type=BOOT_SERVICES_DATA, Start=0x0000000006ff5000, Pages=1, Attr=0xf
Entry 75: Type=BOOT_SERVICES_CODE, Start=0x0000000006ff6000, Pages=11, Attr=0xf
Entry 76: Type=BOOT_SERVICES_DATA, Start=0x0000000007001000, Pages=2, Attr=0xf
Entry 77: Type=BOOT_SERVICES_CODE, Start=0x0000000007003000, Pages=1, Attr=0xf
Entry 78: Type=BOOT_SERVICES_DATA, Start=0x0000000007004000, Pages=2, Attr=0xf
Entry 79: Type=BOOT_SERVICES_CODE, Start=0x0000000007006000, Pages=3, Attr=0xf
Entry 80: Type=BOOT_SERVICES_DATA, Start=0x0000000007009000, Pages=1, Attr=0xf
Entry 81: Type=BOOT_SERVICES_CODE, Start=0x000000000700a000, Pages=1, Attr=0xf
Entry 82: Type=BOOT_SERVICES_DATA, Start=0x000000000700b000, Pages=1, Attr=0xf
Entry 83: Type=BOOT_SERVICES_CODE, Start=0x000000000700c000, Pages=23, Attr=0xf
Entry 84: Type=BOOT_SERVICES_DATA, Start=0x0000000007023000, Pages=1, Attr=0xf
Entry 85: Type=BOOT_SERVICES_CODE, Start=0x0000000007024000, Pages=1, Attr=0xf
Entry 86: Type=BOOT_SERVICES_DATA, Start=0x0000000007025000, Pages=1, Attr=0xf
Entry 87: Type=BOOT_SERVICES_CODE, Start=0x0000000007026000, Pages=1, Attr=0xf
Entry 88: Type=BOOT_SERVICES_DATA, Start=0x0000000007027000, Pages=19, Attr=0xf
Entry 89: Type=BOOT_SERVICES_CODE, Start=0x000000000703a000, Pages=6, Attr=0xf
Entry 90: Type=BOOT_SERVICES_DATA, Start=0x0000000007040000, Pages=6, Attr=0xf
Entry 91: Type=BOOT_SERVICES_CODE, Start=0x0000000007046000, Pages=10, Attr=0xf
Entry 92: Type=BOOT_SERVICES_DATA, Start=0x0000000007050000, Pages=2, Attr=0xf
Entry 93: Type=BOOT_SERVICES_CODE, Start=0x0000000007052000, Pages=2, Attr=0xf
Entry 94: Type=BOOT_SERVICES_DATA, Start=0x0000000007054000, Pages=1, Attr=0xf
Entry 95: Type=BOOT_SERVICES_CODE, Start=0x0000000007055000, Pages=3, Attr=0xf
Entry 96: Type=BOOT_SERVICES_DATA, Start=0x0000000007058000, Pages=1173, Attr=0xf
Entry 97: Type=RUNTIME_SERVICES_DATA, Start=0x00000000074ed000, Pages=256, Attr=0x800000000000000f
Entry 98: Type=RUNTIME_SERVICES_CODE, Start=0x00000000075ed000, Pages=256, Attr=0x800000000000000f
Entry 99: Type=RESERVED, Start=0x00000000076ed000, Pages=128, Attr=0xf
Entry 100: Type=ACPI_RECLAIM, Start=0x000000000776d000, Pages=18, Attr=0xf
Entry 101: Type=ACPI_NON_VOLATILE, Start=0x000000000777f000, Pages=128, Attr=0xf
Entry 102: Type=BOOT_SERVICES_DATA, Start=0x00000000077ff000, Pages=1537, Attr=0xf
Entry 103: Type=CONVENTIONAL, Start=0x0000000007e00000, Pages=125, Attr=0xf
Entry 104: Type=BOOT_SERVICES_DATA, Start=0x0000000007e7d000, Pages=32, Attr=0xf
Entry 105: Type=BOOT_SERVICES_CODE, Start=0x0000000007e9d000, Pages=36, Attr=0xf
Entry 106: Type=RESERVED, Start=0x0000000007ec1000, Pages=4, Attr=0xf
Entry 107: Type=ACPI_NON_VOLATILE, Start=0x0000000007ec5000, Pages=2, Attr=0xf
Entry 108: Type=BOOT_SERVICES_CODE, Start=0x0000000007ec7000, Pages=1, Attr=0xf
Entry 109: Type=BOOT_SERVICES_DATA, Start=0x0000000007ec8000, Pages=17, Attr=0xf
Entry 110: Type=BOOT_SERVICES_CODE, Start=0x0000000007ed9000, Pages=27, Attr=0xf
Entry 111: Type=RUNTIME_SERVICES_DATA, Start=0x0000000007ef4000, Pages=132, Attr=0x800000000000000f
Entry 112: Type=ACPI_NON_VOLATILE, Start=0x0000000007f78000, Pages=136, Attr=0xf
Entry 113: Type=RESERVED, Start=0x000000fd00000000, Pages=3145728, Attr=0x0
